Part;Property ID;IsSpecialisedOf;Property type;Creators language;Names in language de-DE;Definitions in language de-DE;Descriptions in language de-DE;Examples in language de-DE;Names in language EN;"Definitions in language EN
(Ralf 1)";Descriptions in language EN;"Examples in language EN
(Ralf 2)";Symbols of the property in a given property group;Visual representation;Country of use;Subdivision of use;Country of origin;Status;Date of creation;Date of activation;Date of last change;Date of revision;Date of version;Date of deactivation;Version number;Revision number;Replaces;Replaced by;Deprecation explanation;Reference to standard or document;Reference to VDI 3805 record no;QuantityID;UnitNo;Method of measurement;Data Type;List of Possible Values;abstract_property with superset of values;Class assignment;Parameters of the dependent property;Type of enumeration;Classification system;Identifier ETIM;ETIM Mapping Quality;Definition ETIM;Identifier IFC 2_3;IFC 2_3 Mapping Quality;Definition IFC 2_3;Identifier IFC 4x;IFC 4x Mapping Quality;Definition IFC 4x;Identifier CIBSE;CISBE Mapping Quality;Definition CIBSE;Identifier prodBIM;prodBIM Mapping Quality;Definition prodBIM;Identifier ECLASS;ECLASS Mapping Quality;Definition ECLASS;Identifier UniversalType;UniversalType Mapping Quality;Definition UniversalType;P002 Class assignment;P003 Class assignment;P004 Class assignment;P005 Class assignment;P006 Class assignment;P007 Class assignment;P008 Class assignment;P009 Class assignment;P010 Class assignment;P011 Class assignment;P012 Class assignment;P013 Class assignment;P014 Class assignment;P015 Class assignment;P016 Class assignment;P017 Class assignment;P018 Class assignment;P019 Class assignment;P020 Class assignment;P021 Class assignment;P022 Class assignment;P023 Class assignment;P024 Class assignment;P025 Class assignment;P026 Class assignment;P027 Class assignment;P028 Class assignment;P029 Class assignment;P030 Class assignment;P031 Class assignment;P032 Class assignment;P033 Class assignment;P034 Class assignment;P035 Class assignment;P036 Class assignment;P037 Class assignment;P038 Class assignment;P039 Class assignment;P040 Class assignment;P041 Class assignment;P042 Class assignment;P043 Class assignment;P044 Class assignment;P045 Class assignment;P046 Class assignment;P047 Class assignment;P048 Class assignment;P049 Class assignment
22;P022.0010;;1;de-DE;Aufstellungsort der Wärmepumpe;;;"1 = innen
2 = aussen
3 = innen und aussen
4 = innen mit Aussenansaugung
5 = innen eck mit Aussenansaugung";Installation location of the heat pump;;;;;;DE;;DE;;;;;;;;;;;;;;22-450-2;without;;;string enum;1, 2;A001.0015, 1,2,3;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P001.0300;;1;de-DE;Schutzart;;z.B. IP55, IP68;IP54;Protection class;;e.g. IP55, IP68;;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;prod08Burner,prod22MonoblocHeatPump,prod36InstantaniousWaterHeater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P001.0195;;1;de-DE;Schallleistungspegel;;;;sound power level;A-weighted SoundPowerLevel ;;overall A-weighted sound power level. The sound power level, is calculated with Formula according to EN 12102-1;Lwi;;DE;;DE;;;;;;;;;;;;;;;Q8100 (Schallleistungspegel);2;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P001.0196;;1;de-DE;Silentmodus;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;2;;;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Leistungsdaten I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0200;;1;de-DE;Art der Leistung;;;"1 = Heizleistung
2 = Kühlleistung";type of output;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.09-3;;;;string enum;;;B022.0015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0201;;1;de-DE;Vorlauftemperatur der Wärmepumpe;;;;heat pump supply temperature ;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.09-4;Q5000 (Temperatur);2;;float;;;B022.0015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0202;;1;de-DE;maximale Wärmequellentemperatur;;;;maximum heat source temperature;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.09-5;Q5000 (Temperatur);2;;float;;;B022.0015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0203;;1;de-DE;minimale Wärmequellentemperatur;;;;minimum heat source temperature;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.09-6;Q5000 (Temperatur);2;;float;;;B022.0015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0204;;1;de-DE;Stufe;;;;stage;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.09-7;Q8004 (Einstellgröße);1;;float;;;B022.0015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0205;;1;de-DE;Last;;;;load;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.09-8;Q8000 (Verhältniszahl);2;;float;;;B022.0015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Leistungsdaten II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0210;;1;de-DE;Wärmequellentemperatur;;;;heat source temperature;;;;;;DE;;DE;;;;;;;;;;;;;;22-710.91-3;Q5000 (Temperatur);2;;float;;;B022.0016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0211;;1;de-DE;Leistung;;Heiz- bzw. Kühlleistung;;output;RatedCapacity A2/W35;;"cooling or heating capacity of the vapour compression cycle of the unit at standard rating conditions
[Source: EN 14511-1]";Prated;;DE;;DE;;;;;;;;;;;;;;22-710.91-4;Q2600 (Leistung);6;;float;;;B022.0016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0212;;1;de-DE;elektrische Leistungsaufnahme;;;;electric power consumption;RatedPowerInput A2/W35;;"cooling or heating effective power input of the vapour compression cycle of the unit at standard rating conditions
[Source: EN 14511-1]";PCOP;;DE;;DE;;;;;;;;;;;;;;22-710.91-5;Q2600 (Leistung);6;;float;;;B022.0016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0213;;1;de-DE;COP/ERR;;;;COP/ERR;Coefficient of Performance;;"ratio of the heating capacity to the effective power input of the unit
[Source: EN 14511-1 /3.6]";COP;;DE;;DE;;;;;;;;;;;;;;22-710.91-6;Q8002 (Faktor);1;;float;;;B022.0016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Elektrische Zusatzheizung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0300;;1;de-DE;Schaltung;;;"1 = stufenlos
2 = 1-stufig
3 = 2-stufig
4 = 3-stufig
5 = n-stufig";Switching;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;B022.0032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0301;;1;de-DE;Max. elektrische Anschlussleistung;;;;Max. electrical connection power;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;B022.0032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0302;;1;de-DE;Min. elektrische Anschlussleistung;;;;Min. electrical connection power;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;B022.0032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0303;;1;de-DE;maximale Vorlauftemperatur;;Mit elektrische Zusatzheizung;;maximum supply temperature;;;;;;DE;;DE;;;;;;;;;;;;;;;Q5000 (Temperatur);2;;float;;;B022.0032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stufen der elektrische Zusatzheizung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0310;;1;de-DE;Stufe;;;;stage;;;;;;DE;;DE;;;;;;;;;;;;;;;Q8004 (Einstellgröße);;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0311;;1;de-DE;elektrische Anschlussleistung;;;;Electrical connection power;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Elektrische Anschluss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0001;;1;de-DE;Nenn-/Betriebsspannung;Ausgewiesenes normales bzw. im Betrieb eingestelltes spezifisches Arbeitsvermögen einer elektrischen Ladung;;230 ;Nominal/operating voltage;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;Q4200 (elektrische Spannung);1;;float;≥0;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0002;;1;de-DE;Art des elektrischen Anschlusses;Code für Phase, Neutral- und Schutzleiter und Spannung;;1/N/PE 230V, 2/N/PE400V, 3/N/PE 400V,  24V, 12V, 5V;Type of electrical port;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;without;;;string;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0003;;1;de-DE;Art der Nenn-/Betriebs-spannung;Angabe ob Gleichstrom und/oder Wechselstrom oder elektronisch geregelte Spannung;;;Type of nominal/operating voltage;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;without;;;string enum;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0004;;1;de-DE;Anlaufschaltung;Anlaufschaltung bei Dreiphasenanschluss oder Drehstrom (Anlassverfahren);;"1=Direktes Anlassen
2=Stern-Dreieck-Anlauf
3=Teilwicklungsanlauf
4=Anlassen mittels Ständeranlasser
5=Anlassen mittels Anlasstrafo
6=Anlassen mittels elektronischer Anlassverfahren
7=Anlassen mit Anwurfmotor
8=Sanftanlauf-Verfahren";Startup circuit;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;without;;;string enum;"→Tabelle T5 ""Three phase starter""";;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0005;;1;de-DE;Frequenz, minimal ;Minimale Häufigkeit periodisch auftretender Wiederholungen von Spannungschwingungen ;;50;Frequency, minimum;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;Q3100 (Frequenz);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0006;;1;de-DE;Frequenz, maximal ;Maximale Häufigkeit periodisch auftretender Wiederholungen von Spannungschwingungen ;;50;Frequency, maximum;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;Q3100 (Frequenz);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0007;;1;de-DE;Wirkfaktor cos φ;Verhältnis des Betrags der Wirkleistung P zur Scheinleistung  S in der Wechselstromtechnik;;0.8;Active factor cos φ;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;without;;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0008;;1;de-DE;Bemessungsstrom ;Für eine festgelegte Betriebsbedingung einem elektrischen Betriebsmittel zugeordnete elektrische Stromstärke;;6;Rated current;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950;VDI 3805-1    Record type 950;Q4000 (elektrische Stromstärke);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0009;;1;de-DE;Bemessungsleistung;produzierte Stromsumme in kWh/Jahr ÷ Anzahl Jahresstunden;;1324;Rated power;;;;;;EU;;EU;;;;;;;;;;;;;VDI 3805-1    Record type 950.01 und 950.02;VDI 3805-1    Record type 950.01 und 950.02;Q2600 (Leistung);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0010;;1;de-DE;Maximaler Einschaltstrom;Maximale Stromstärke bei einem Einschaltvorgang;;8;Maximum inrush current;Maximum Starting Current;;;;;EU;;EU;;;;;;;;;;;;;;;Q4000 (elektrische Stromstärke);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0011;;1;de-DE;Maximaler Vorsicherungsstrom;Ausgelegte Stromstärke einer Vorsicherung;;16;Maximum pre-fuse current ;;;;;;EU;;EU;;;;;;;;;;;;;;;Q4000 (elektrische Stromstärke);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0012;;1;de-DE;Leitungsschutzschalter/ Auslöse-Charakteristik/ Maximale Vorsicherungs-Charakteristik;nach DIN EN 60898-1/ DIN VDE 0641-1/ IEC 60898-1/ IEC 60269-1;;"1=B
2=C
3=D
4=E
5=U
6=FF (superfast)
7=F (flink)
8=M (mittelträge)
9=T (träge)
10=TT (superträge)
11=gG
12=gR
13=gS
14=gPV
15=gM
16=aR
17=aM
18=dD
19=gN
20=gTr
21=gB
22=gTF
23=TF
99=Sonstige";Circuit breaker/ Tripping characteristic/ Maximum pre-fuse characteristic;;;;;;EU;;EU;;;;;;;;;;;;;;;without;;;string enum;"→Tabelle T6 ""Circuit breaker""";;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0014;;1;de-DE;minimale Bemessungsspannung (untere Funktionsgrenze);Minimale für eine festgelegte Betriebsbedingung einem elektrischen Betriebsmittel zugeordnete elektrische Spannung;;;minimum rated voltage (lower functional limit);;;;;;EU;;EU;;;;;;;;;;;;;;;Q4200 (elektrische Spannung);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P9950.0015;;1;de-DE;maximale Bemessungsspannung (obere Funktionsgrenze);Maximale für eine festgelegte Betriebsbedingung einem elektrischen Betriebsmittel zugeordnete elektrische Spannung;;;maximum rated voltage (upper functional limit);;;;;;EU;;EU;;;;;;;;;;;;;;;Q4200 (elektrische Spannung);1;;float;;;T001.0014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Heizungsumwälzpumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0090;;1;de-DE;elektrische Leistungsaufnahme Heizkreis-pumpe;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;blocHeatingCirculationPump;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ausdehnungsgefäß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22,43;P001.0400;;1;de-DE;werkseitiger Vordruck;;;;factory-set precharge pressure;;;;;;DE;;DE;;;;;;;;;;;;;;43-710.01-3;Q2200 (Druck);5;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod043MembraneExpansionVessels;;;;;;
22,43;P001.0401;;1;de-DE;Beschreibung;;;;description;;;;;;DE;;DE;;;;;;;;;;;;;;43-710.01-4;;;;string;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod043MembraneExpansionVessels;;;;;;
22,43;P001.0402;;1;de-DE;Nenninhalt;;;;nominal capacity;;;;;;DE;;DE;;;;;;;;;;;;;;43-700-5;Q1002 (Rauminhalt);9;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod043PressureMaintainingDevice;;;;;;
;Räume;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0220;;1;de-DE;Art des Raums;;;"1 = Störraum
2 = Produktraum
3 = Bedienraum
4 = Einbringraum
5 = Montageraum";Type;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0221;;1;de-DE;Form des Raums;;;"1 = rechteckig
2 = rund
3 = Sonderform";Shape;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;A001.2000,1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0222;;1;de-DE;Freiraum oben;;;;Access Clearance Top;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0223;;1;de-DE;Freiraum unten;;;;Access Clearance Bottom;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0224;;1;de-DE;Freiraum links;;;;Access Clearance Left;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0225;;1;de-DE;Freiraum rechts;;;;Access Clearance Right;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0226;;1;de-DE;Freiraum vorne;;;;Access Clearance Front;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0227;;1;de-DE;Freiraum hinten;;;;Access Clearance Rear;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gewichte und Maße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0228;;1;de-DE;Bruttogewicht (Gesamt);;;;Gross Weight;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2000 (Masse);1;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0229;;1;de-DE;Transport Gewicht;;;;Shipping Weight;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2000 (Masse);1;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0230;;1;de-DE;Gewicht (trocken);;;;Dry Weight;Mass;;Net-mass of the housing (without packaging or other things);;;DE;;DE;;;;;;;;;;;;;;;Q2000 (Masse);1;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P001.0231;;1;de-DE;Breite;;x-Achse;;Width;Width;;Width of the housing;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P001.0232;;1;de-DE;Tiefe;;-y-Achse;;Depth;Length;;Length of the housing;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P001.0233;;1;de-DE;Höhe;;z-Achse;;Height;Height;;Height of the housing;;;DE;;DE;;;;;;;;;;;;;;;Q1010 (Länge);7;;float;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ausrichtung/Konstruktion Monoblock-Wärmepumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.2001;;4;de-DE;Nullpunkt der Wärmepumpe;Dadurch sind die Achsen der Gerätemaße wie folgt definiert: Breite entspricht der x-Achse, Tiefe entspricht der y-Achse, Höhe entspricht der z-Achse;;;;;;;P022_Orientation.png;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;A001.2001,1;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.2002;;4;de-DE;Lage der x-Achse der Wärmepumpe;Breite entspricht der x-Achse;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;A001.2002,0;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.2003;;4;de-DE;Lage der y-Achse der Wärmepumpe;Tiefe entspricht der -y-Achse;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;A001.2003,3,4;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.2004;;4;de-DE;Lage der z-Achse der Wärmepumpe;Höhe entspricht der z-Achse;;;;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;A001.2004,1;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;blocOrientation;;;;;;;;;;;;;;;;;;;;;;;;;;;
